iso_alpha,country
ALB,Albania
AUT,Austria
BEL,Belgium
BGR,Bulgaria
HRV,Croatia
CHE,Switzerland
CYP,Cyprus
CZE,Czech Republic
CZE,Czechia
DNK,Denmark
EST,Estonia
FIN,Finland
FRA,France
DEU,Germany
GBR,United Kingdom
GRC,Greece
HUN,Hungary
IRL,Ireland
ISL,Iceland
ITA,Italy
LVA,Latvia
LIE,Liechtenstein
LTU,Lithuania
LUX,Luxembourg
MLT,Malta
MNE,Montenegro
MKD,North Macedonia
NLD,Netherlands
NOR,Norway
POL,Poland
PRT,Portugal
ROU,Romania
SRB,Serbia
SVK,Slovakia
SVN,Slovenia
ESP,Spain
SWE,Sweden
TUR,Turkey
