GEO,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,3.92,4.51,3.96,4.33,4.42,4.98,5.17,5.46,5.56,5.79,4.88,5.03,4.43,4.28,4.4,4.33,4.38,4.39,4.44,4.4
Andorra,12.77,13.08,12.16,12.25,12.23,11.82,11.89,11.53,10.96,10.86,10.53,10.46,10.33,10.06,9.88,11.02,11.18,11.18,10.72,10.99
Armenia,2.91,2.87,2.87,3,3.73,4.17,3.99,3.91,3.96,3.97,4.23,4.07,3.89,3.92,4.22,4.04,3.83,3.83,3.69,3.77
Austria,13.35,12.35,12.09,12.31,12.17,12.14,12.58,12.54,12.03,11.87,12.1,11.9,12.1,12.1,12.4,11.6,11.7,11.6,11.6,11.9
Azerbaijan,0.66,0.5,0.55,0.55,0.63,0.73,0.85,0.95,1.12,1.92,0.99,0.6,0.52,0.52,0.36,0.51,0.39,0.44,0.88,1.38
Belarus,12.92,10.74,11.78,11.17,12.08,11.19,12.61,13.91,14.58,13.98,14.43,14.5,13.56,12.58,11.29,9.79,9.74,9.76,10.08,10.57
Belgium,11.21,11.01,11.29,11.28,12.05,12.21,10.94,13.43,10.51,10.1,10.27,10.14,10.09,10.33,10.57,10.36,9.42,9.3,9.22,9.15
Bosnia and Herzegovina,3.87,4.11,4.08,4.29,4.38,4.5,4.72,5.03,5.03,4.69,4.57,4.71,4.83,4.69,4.69,4.9,5.04,5.25,5.44,5.46
Bulgaria,10.26,11.07,10.8,10.92,10.7,10.22,10.18,10.66,10.73,10.53,9.82,9.88,10.88,10.32,10.3,10.89,11.13,10.93,11.53,11.18
Croatia,13.24,13.69,13.88,12.99,12.42,10.72,10.98,11.36,11.36,11.11,10.71,11.01,10.58,10.39,9.5,9.64,10,9.7,9.63,9.64
Cyprus,9.56,10.16,11.68,10.62,13.03,11.41,11.48,11.58,12.03,10.81,11.33,10.71,10.58,9.07,9.63,9.59,9.59,9.59,9.59,9.59
Czechia,13.9,13.64,13.77,13.87,13.42,13.66,13.58,13.83,13.65,13.43,12.68,12.56,12.83,12.54,12.75,12.76,12.92,12.73,12.73,12.73
Denmark,11.68,11.54,11.32,11.53,11.26,11.26,11.02,10.99,10.7,10.08,10.27,10.45,9.23,9.44,9.55,9.42,9.51,9.3,9.32,9.16
Estonia,9.03,10.1,12.16,11.64,15.52,16.58,17.87,17.47,16.61,4.66,14.97,16.27,16.96,17.75,17.29,16.72,15.61,13.08,10.81,11.65
Finland,8.88,8.94,9.25,9.31,9.89,9.95,10.15,10.45,10.26,9.96,9.72,9.81,9.27,9.08,8.76,8.52,8.44,8.37,8.37,8.23
France,13.92,14.15,13.92,13.45,13.14,12.88,13.05,12.95,12.53,12.66,12.3,12.35,12.22,11.73,12.07,11.87,11.74,11.69,11.24,11.44
Georgia,3.29,2.77,2.74,2.79,2.89,4.36,5.69,6.89,7.27,6.26,7.72,8.29,7.23,6.76,6.49,6.95,6.85,6.88,7.25,7.45
Germany,12.91,12.46,12.25,11.92,11.83,11.68,11.76,11.51,11.37,11.23,11.58,11.33,11.32,11.08,11.07,11.06,10.96,10.86,10.88,10.56
Greece,8.6,8.75,8.22,8.91,9.1,9.15,8.68,8.89,8.73,8.32,8.33,7.48,7.62,7.55,7.06,6.68,6.68,6.67,6.45,6.33
Hungary,12.23,13.18,13.28,13.24,13.28,12.95,13.25,12.54,11.75,11.52,10.7,11.37,11.13,10.73,10.92,10.95,11.28,10.79,10.79,10.79
Iceland,6.14,6.32,6.53,6.52,6.71,7.05,7.2,7.53,7.19,7.24,6.79,6.84,6.82,6.8,7.01,7.66,7.49,7.75,7.72,7.72
Ireland,13.84,14.04,13.95,13.04,13.11,13.06,13.12,13.17,12.18,10.93,11.57,11.49,11.38,10.51,10.88,10.81,11.3,11.13,11.15,10.91
