Data extracted on 11/10/2023 10:13:42 from [ESTAT],,,,,,,,,,,,,,,,,,,,,,,,
Dataset: ,Volume of passenger transport relative to GDP [TTR00001],,,,,,,,,,,,,,,,,,,,,,,
Last updated: ,11/08/2023 23:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,,,,,
Unit of measure,,"Index, 2015=100",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
TIME,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Labels),,,,,,,,,,,,,,,,,,,,,,,,
European Union - 27 countries (from 2020),103.7,be,102.2,be,100.9,be,100.8,e,100.1,be,100,,100,be,98.3,e,96.6,be,95.4,e,79.2,e,80.2,e
Euro area – 20 countries (from 2023),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Euro area - 19 countries  (2015-2022),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,114.1,,110.5,,114,be,111.5,e,103.7,be,100,,97.4,e,96.6,e,95.5,e,93.8,e,80.9,ep,79.9,ep
Bulgaria,91.5,e,91.2,e,91.9,e,94.4,e,99.1,e,100,,95.9,e,93.9,e,89.7,e,88.7,e,75.4,e,72.3,e
Czechia,101.2,,100,,99.6,,100.7,,103.1,e,100,,100.7,,99.2,,100.9,,101.5,,83.8,,99.2,
Denmark,98.7,e,99.5,e,98.7,e,97.7,e,98.1,e,100,,99.8,e,98.6,e,97.2,e,98.2,e,88.4,e,85.9,e
Germany,101.4,e,101,b,101.1,,100.9,,100.2,,100,,100,,94.6,,93.8,,91.1,p,79.9,p,76.1,p
Estonia,95.1,e,90.6,e,91.9,e,93.9,e,95.9,e,100,,104.2,e,99.8,e,97.8,e,100.2,e,79.1,e,77.7,e
Ireland,128.7,e,126,e,123.4,e,125.2,e,114.3,e,100,,103.8,e,98.8,e,93,e,90.5,e,70.1,e,65.7,e
Greece,82.6,be,90.6,e,96.3,e,98,e,98.4,e,100,,101.6,e,101.7,e,101.3,e,100.9,e,91.6,ep,90.3,ep
