,country,iso_alpha,year,pg_GDP,flag
0,EU,,2010,103.7,be
1,Belgium,BEL,2010,114.1,
2,Bulgaria,BGR,2010,91.5,e
3,Czech Republic,CZE,2010,101.2,
4,Denmark,DNK,2010,98.7,e
5,Germany,DEU,2010,101.4,e
6,Estonia,EST,2010,95.1,e
7,Ireland,IRL,2010,128.7,e
8,Greece,GRC,2010,82.6,be
9,Spain,ESP,2010,106.3,
10,France,FRA,2010,108.7,e
11,Croatia,HRV,2010,99.2,e
12,Italy,ITA,2010,99.4,b
13,Cyprus,CYP,2010,86.9,e
14,Latvia,LVA,2010,111.3,
15,Lithuania,LTU,2010,153.4,
16,Luxembourg,LUX,2010,98.1,e
17,Hungary,HUN,2010,108.1,e
18,Malta,MLT,2010,115.5,e
19,Netherlands,NLD,2010,106.9,e
20,Austria,AUT,2010,97,e
21,Poland,POL,2010,112.5,
22,Portugal,PRT,2010,95.9,e
23,Romania,ROU,2010,96.3,e
24,Slovenia,SVN,2010,99.9,
25,Slovakia,SVK,2010,107.6,e
26,Finland,FIN,2010,98.2,
27,Sweden,SWE,2010,98.5,
28,Iceland,ISL,2010,101.5,e
29,Liechtenstein,LIE,2010,0,
30,Norway,NOR,2010,100.4,
31,Switzerland,CHE,2010,115.3,
32,United Kingdom,GBR,2010,108.4,e
33,Montenegro,MNE,2010,108.8,e
34,North Macedonia,MKD,2010,75.1,e
35,Albania,ALB,2010,0,
36,Serbia,SRB,2010,110.8,e
37,Turkey,TUR,2010,110.7,
38,EU,,2011,102.2,be
39,Belgium,BEL,2011,110.5,
40,Bulgaria,BGR,2011,91.2,e
41,Czech Republic,CZE,2011,100,
42,Denmark,DNK,2011,99.5,e
43,Germany,DEU,2011,101,b
44,Estonia,EST,2011,90.6,e
45,Ireland,IRL,2011,126,e
46,Greece,GRC,2011,90.6,e
47,Spain,ESP,2011,106.6,
48,France,FRA,2011,107.1,e
49,Croatia,HRV,2011,96.5,
50,Italy,ITA,2011,94.7,
51,Cyprus,CYP,2011,87.2,e
52,Latvia,LVA,2011,102.7,
53,Lithuania,LTU,2011,134.2,
54,Luxembourg,LUX,2011,98.8,e
55,Hungary,HUN,2011,105.7,
56,Malta,MLT,2011,115.2,e
57,Netherlands,NLD,2011,105.9,e
58,Austria,AUT,2011,96,e
59,Poland,POL,2011,110.4,
60,Portugal,PRT,2011,95.7,e
61,Romania,ROU,2011,91,e
62,Slovenia,SVN,2011,98.6,e
63,Slovakia,SVK,2011,105.3,e
64,Finland,FIN,2011,96.6,
65,Sweden,SWE,2011,104.4,e
66,Iceland,ISL,2011,96,e
67,Liechtenstein,LIE,2011,0,
68,Norway,NOR,2011,100.9,
69,Switzerland,CHE,2011,103.6,
70,United Kingdom,GBR,2011,107.1,e
71,Montenegro,MNE,2011,101,e
72,North Macedonia,MKD,2011,83,e
73,Albania,ALB,2011,0,
74,Serbia,SRB,2011,94.9,e
75,Turkey,TUR,2011,106.3,
76,EU,,2012,100.9,be
77,Belgium,BEL,2012,114,be
78,Bulgaria,BGR,2012,91.9,e
79,Czech Republic,CZE,2012,99.6,
80,Denmark,DNK,2012,98.7,e
81,Germany,DEU,2012,101.1,
82,Estonia,EST,2012,91.9,e
83,Ireland,IRL,2012,123.4,e
84,Greece,GRC,2012,96.3,e
85,Spain,ESP,2012,105.9,
86,France,FRA,2012,106.6,
87,Croatia,HRV,2012,100.9,
88,Italy,ITA,2012,87.3,
89,Cyprus,CYP,2012,91.1,e
90,Latvia,LVA,2012,96.5,
91,Lithuania,LTU,2012,146,
92,Luxembourg,LUX,2012,99.4,e
93,Hungary,HUN,2012,107.3,e
94,Malta,MLT,2012,111,e
95,Netherlands,NLD,2012,106.8,e
96,Austria,AUT,2012,96.1,
97,Poland,POL,2012,104.9,
98,Portugal,PRT,2012,98.3,e
99,Romania,ROU,2012,92,e
100,Slovenia,SVN,2012,100.5,e
101,Slovakia,SVK,2012,103.6,e
102,Finland,FIN,2012,97.9,
103,Sweden,SWE,2012,104.7,e
104,Iceland,ISL,2012,96.1,e
105,Liechtenstein,LIE,2012,0,
106,Norway,NOR,2012,98.1,
107,Switzerland,CHE,2012,102.9,
108,United Kingdom,GBR,2012,106.1,
109,Montenegro,MNE,2012,105.8,e
110,North Macedonia,MKD,2012,77.7,
111,Albania,ALB,2012,0,
