Dataset: Transport infrastructure investment and maintenance spending,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,,Road infrastructure investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Measure,,Euro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Country,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,Euro,,"108,347,272",,"107,567,894",,"64,458,009",,"60,782,802",,"91,078,262",,"68,193,896",,"175,223,508",,"253,261,449",,"499,989,410",,"486,769,532",,"241,919,259",,"210,147,159",,"180,820,940",,"234,163,844",,"192,718,553",,"179,236,201",,"89,140,344",,"159,032,880",,"169,252,490",,"175,879,111",,"223,292,017",,"265,726,260"
Armenia,Euro,,..,,"1,371,881",,"830,439",,"418,066",,"3,923,281",,"19,854,465",,"23,142,419",,"29,057,065",,"50,248,397",,"84,166,326",,"36,550,830",,"30,534,426",,"26,502,499",,"23,186,815",,"66,773,299",,"77,721,547",,"90,425,117",,..,,..,,..,,..,,..
Australia,Euro,,"3,985,384,644",,"3,232,914,774",(B),"3,174,141,910",,"3,809,467,524",,"4,673,112,063",,"6,047,684,590",,"6,696,458,225",,"7,813,640,359",,"7,904,953,310",,"9,829,927,604",,"10,819,178,342",,"12,985,964,191",,"15,649,722,083",,"13,990,189,647",,"10,988,504,646",,"10,310,609,857",,"10,841,616,558",,"12,673,185,564",,"14,363,912,675",,"13,317,666,734",,"12,671,465,384",,"13,286,823,655"
Austria,Euro,,"475,000,000",,"640,000,000",(B),"532,000,000",,"650,000,000",,"720,000,000",,"687,000,000",,"802,000,000",,"870,000,000",,"875,000,000",,"665,000,000",,"390,000,000",,"303,000,000",,"327,000,000",,"363,000,000",,"453,000,000",,"455,000,000",,"444,000,000",,"515,000,000",,"463,000,000",,"562,000,000",,"548,000,000",,"480,000,000"
Azerbaijan,Euro,,"30,255,355",,"47,961,631",,"46,789,989",,"34,212,659",,"48,289,409",,"82,349,945",,"260,388,800",,"374,213,302",,"1,328,480,437",,"1,271,655,653",,"1,545,685,041",,"1,561,419,472",,"1,479,179,001",,"1,913,627,639",,"1,411,301,928",,"873,204,688",,"498,158,118",,"557,071,513",,"695,011,451",,"844,323,018",,"757,138,439",,"1,208,250,497"
Belarus,Euro,,..,,..,,..,,..,,..,,"537,113,018",,"601,559,599",,"781,101,292",,"933,142,311",,"647,134,413",,"878,734,177",,"1,186,610,514",,"1,581,319,399",,"1,446,139,503",,"1,357,658,853",,"1,007,813,385",,"872,967,572",,"960,754,682",,"1,004,655,803",,"1,157,793,622",,..,,..
Belgium,Euro,,"149,000,000",,"147,000,000",,"172,000,000",,"185,000,000",,"156,000,000",,"156,000,000",,"169,000,000",,"166,000,000",,"156,000,000",,"175,000,000",(B),"348,000,000",,"248,000,000",,"553,000,000",,"587,000,000",,"417,000,000",(P),"778,000,000",,"810,000,000",(P),"655,906,000",(P),"681,000,000",(P),"735,000,000",,"607,000,000",,"1,311,000,000"
Bulgaria,Euro,,..,,..,,..,,..,,..,,"272,011,453",,"256,161,162",,"213,211,985",,"256,161,162",,"130,892,729",,"370,692,300",,"511,811,024",,"585,949,484",,"505,164,127",,"563,452,296",,"839,042,847",,"163,104,612",,"115,042,438",,"882,503,323",,"528,172,615",,"525,104,816",,"151,856,018"
Canada,Euro,,"3,725,933,489",,"4,394,605,899",,"3,983,679,525",,"3,936,788,875",,"4,173,160,173",,"5,493,144,333",,"6,777,840,191",,"7,804,479,543",,"8,752,004,104",,"10,890,108,504",,"15,378,704,720",,"15,066,152,951",,"14,756,382,316",,"13,086,085,940",(B),"5,108,668,220",,"7,214,836,462",,"7,042,672,778",,"7,481,340,454",,"6,431,185,466",(P),"7,543,245,608",,..,,..
