Data extracted on 19/10/2023 17:29:35 from [ESTAT],,,,,,,,,,,,,,,,,,,,
Dataset: ,"Passenger road transport on national territory, by type of vehicles registered in the reporting country [road_pa_mov$defaultview]",,,,,,,,,,,,,,,,,,,
Last updated: ,05/07/2023 23:00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Time frequency,,Annual,,,,,,,,,,,,,,,,,,
Unit of measure,,Millions of passenger-kilometres,,,,,,,,,,,,,,,,,,
Vehicles,,Total,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
TIME,2012,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
GEO (Labels),,,,,,,,,,,,,,,,,,,,
Belgium,"135,070",,"132,615",p,:,,:,,:,,:,,:,,:,,:,,:,
Bulgaria,"8,949.9",,"8,666.600",,"9,919.700",,"10,017.800",,"9,548.600",,"8,916.900",,"8,017.500",,"8,952.700",,"4,803",,"4,611.600",
Czechia,"78,719",,"79,382",,:,,"84,829",,"87,257",,"90,049",e,"94,193",,"97,320",,"77,771",e,"96,722",
Denmark,:,,"66,794",,"68,140",,"70,962",,"73,393",,"74,468",,"74,934",,:,,"69,742",,"70,835",
Germany,"990,582",,"998,566",,"1,013,748",,"1,027,500",,"1,048,003",,"1,015,350",,"1,013,700",,"996,500",,"866,646",,"846,687",
Estonia,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Ireland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Greece,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Spain,"377,544",d,"370,310",,"350,393",,"366,092",,:,,:,,:,,:,,:,,:,
France,"866,611",,"820,574.555",,"832,529.564",,"842,236.878",,"853,941.829",,"860,795.493",,"858,871.767",,"851,213.581",,"677,341",,"769,146.410",
Croatia,"30,586",,"30,859",,"30,962",,"31,171",,"31,455",,"31,862",,"30,962",,"30,962",,"23,675",,"27,201",
Italy,"728,482",,"770,590",e,"787,387",,"820,184",,"847,244",,"885,458",,"857,727",,"875,911",,"579,844",,"633,684",
Latvia,"14,277.2",,:,,:,,:,,:,,:,,:,,:,,:,,:,
Lithuania,"37,257.4",,"36,451.300",,"27,486.300",,"27,780.500",,"28,674",,"34,392",,"33,200",,:,,:,,:,
Luxembourg,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Hungary,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Netherlands,:,,"199,500",,"201,000",,"192,500",,"194,900",,"194,200",,:,,:,,:,,:,
Austria,"85,369",d,"86,132",,"88,690",,"90,630",,"93,090",,"94,757",,:,,:,,:,,:,
Poland,"232,456",,"235,205",e,"240,068",e,"243,346",e,"254,262",e,:,,:,,:,,:,,:,
Portugal,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Romania,"16,901",,:,,:,,:,,:,,:,,:,,:,,:,,:,
Slovenia,:,,:,,:,,:,,:,,"10,955",e,:,,:,,:,,:,
Slovakia,"5,211.9",,"5,114.700",,"5,304",,"5,804",,"5,987",,"5,356",,"5,304",,"5,212",,"3,530",,"3,366",
Finland,"73,971",,"73,816",,"74,221",,"74,996",,"66,422",b,"76,002",,"75,961",,"75,861",,"72,061",,"70,760",
Sweden,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Iceland,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,"65,934",,"66,729",,"68,786",,:,,:,,:,,:,,:,,:,,:,
Switzerland,"94,893",,:,,:,,:,,:,,:,,:,,:,,:,,:,
United Kingdom,"694,319",d,"686,843",,"698,779",,"699,338",,"706,769",,:,,:,,:,,:,,:,
North Macedonia,"1,403",,"8,364",,"9,242",,"9,263",,"9,261",,"9,261",,"9,718",,"9,697",,"10,352.106",,"11,441.480",
Türkiye,"258,874",,"268,168",,"276,073",,"290,734",,"300,852",,"314,734",,"329,363",,"339,601",,"288,992",,"336,188",
,,,,,,,,,,,,,,,,,,,,
Special value,,,,,,,,,,,,,,,,,,,,
:,not available,,,,,,,,,,,,,,,,,,,
Available flags:,,,,,,,,,,,,,,,,,,,,
b,break in time series,,,,,,,,,,,,,,,,,,,
d,definition differs (see metadata),,,,,,,,,,,,,,,,,,,
e,estimated,,,,,,,,,,,,,,,,,,,
p,provisional,,,,,,,,,,,,,,,,,,,
