GEO,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
European Union - 27 countries (from 2020),9.8,9.9,10.8,11.4,10.9,10.1,9.1,8.2,7.3,6.7,7.1,7.1,6.2
Euro area – 20 countries (from 2023),10.1,10.2,11.4,12,11.7,10.9,10.1,9.1,8.2,7.6,7.9,7.7,6.8
Belgium,8.3,7.2,7.6,8.4,8.5,8.5,7.8,7.1,6,5.4,5.6,6.3,5.6
Bulgaria,10.3,11.3,12.3,13,11.4,9.2,7.6,6.2,5.2,4.2,5.1,5.3,4.3
Czechia,7.3,6.7,7,7,6.1,5.1,4,2.9,2.2,2,2.6,2.8,2.2
Denmark,7.7,7.8,7.8,7.4,6.9,6.3,6,5.8,5.1,5,5.6,5.1,4.5
Germany,7,5.8,5.4,5.2,5,4.6,4.1,3.8,3.4,3.1,3.9,3.7,3.1
Estonia,16.7,12.3,10,8.6,7.4,6.4,6.9,5.8,5.4,4.5,7,6.2,5.6
Ireland,14.6,15.4,15.5,13.8,11.9,10,8.4,6.7,5.8,5,5.7,6.2,4.5
Greece,12.7,17.9,24.5,27.5,26.5,24.9,23.6,21.5,19.3,17.3,16.3,14.7,12.5
Spain,19.9,21.4,24.8,26.1,24.5,22.1,19.6,17.2,15.3,14.1,15.5,14.8,12.9
France,8.9,8.8,9.4,9.9,10.3,10.4,10.1,9.4,9,8.4,8,7.9,7.3
Croatia,11.7,13.7,16,17.3,17.3,16.2,13.1,11.2,8.5,6.6,7.5,7.6,7
Italy,8.4,8.4,10.7,12.2,12.7,11.9,11.7,11.2,10.6,10,9.2,9.5,8.1
Cyprus,6.3,7.9,11.9,15.9,16.1,15,13,11.1,8.4,7.1,7.6,7.5,6.8
Latvia,19.5,16.2,15,11.9,10.8,9.9,9.6,8.7,7.4,6.3,8.1,7.6,6.9
Lithuania,17.8,15.4,13.4,11.8,10.7,9.1,7.9,7.1,6.2,6.3,8.5,7.1,6
Luxembourg,4.4,4.9,5.1,5.9,5.9,6.7,6.3,5.5,5.6,5.6,6.8,5.3,4.6
Hungary,11.2,11,11,10.2,7.7,6.8,5.1,4.2,3.7,3.4,4.3,4.1,3.6
Malta,6.9,6.4,6.2,6.1,5.7,5.4,4.7,4,3.7,3.6,4.4,3.4,2.9
Netherlands,5,5,5.8,7.3,7.4,6.9,6,4.9,3.8,3.4,3.8,4.2,3.5
Austria,4.8,4.6,4.9,5.4,5.6,5.7,6,5.5,4.9,4.5,5.4,6.2,4.8
Poland,9.7,9.7,10.1,10.3,9,7.5,6.2,4.9,3.9,3.3,3.2,3.4,2.9
Portugal,11,12.9,15.8,16.4,14.1,12.6,11.2,9,7.1,6.5,6.9,6.6,6
Romania,7,7.2,6.8,7.1,6.8,6.8,5.9,4.9,4.2,3.9,5,5.6,5.6
Slovenia,7.3,8.2,8.9,10.1,9.7,9,8,6.6,5.1,4.5,5,4.8,4
Slovakia,14.4,13.6,14,14.2,13.2,11.5,9.7,8.1,6.5,5.8,6.7,6.8,6.1
Finland,8.4,7.8,7.7,8.2,8.7,9.4,8.8,8.6,7.4,6.7,7.8,7.7,6.8
Sweden,8.6,7.8,8,8.1,8,7.4,7,6.7,6.4,6.8,8.3,8.8,7.5
Iceland,7.6,7,6,5.4,4.9,4,3,2.7,2.7,3.5,5.5,6.1,3.8
Norway,3.5,3.2,3.1,3.4,3.5,4.3,4.7,4.2,3.8,3.7,4.4,4.4,3.2
Switzerland,4.8,4.4,4.5,4.8,4.9,4.8,5,4.8,4.7,4.4,4.8,5.1,4.3
United Kingdom,7.8,8.1,7.9,7.5,6.1,5.3,4.8,4.3,4,3.8,:,:,:
Montenegro,19.2,19.7,20,19.5,18,17.6,17.8,16.1,15.2,15.2,17.9,:,:
North Macedonia,32,31.4,31,29,28,26.1,23.7,22.4,20.8,17.3,16.4,:,:
Serbia,19.3,23.1,24.1,22.3,19.4,17.8,15.4,13.6,12.8,10.5,9.1,11.1,9.4
Türkiye,10.7,8.8,8.2,8.8,9.9,10.3,10.9,10.9,10.9,13.7,13.2,:,:
