Year,Country,LOCATION,STATISTICS,Reference Statistics,UNIT_MEASURE,Unit of measurement,TIME,Value,Flag Codes,Flags
1995,Belgium,BEL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,210489.09,,
1995,Belgium,BEL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,110811.6,,
1995,Canada,CAN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,831621.0,,
1995,Canada,CAN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,402347.0,,
1995,Czech Republic,CZE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,1596306.0,,
1995,Czech Republic,CZE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,849403.0,,
1995,Denmark,DNK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,1036482.6,,
1995,Denmark,DNK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,606612.0,,
1995,Finland,FIN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,98549.0,,
1995,Finland,FIN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,60165.0,,
1995,France,FRA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,1218273.0,,
1995,France,FRA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,667721.0,,
1995,Hungary,HUN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,5836483.0,,
1995,Hungary,HUN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,3223479.3,,
1995,Iceland,ISL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,460839.97,,
1995,Iceland,ISL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,204476.0,,
1995,Italy,ITA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,988243.19,,
1995,Italy,ITA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,510119.0,,
1995,Japan,JPN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,521613504.0,,
1995,Japan,JPN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,174240608.0,,
1995,Korea,KOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,436988800.0,,
1995,Korea,KOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,91750200.0,,
1995,Netherlands,NLD,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,329547.0,,
1995,Netherlands,NLD,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,177808.0,,
1995,New Zealand,NZL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,96236.0,,
1995,New Zealand,NZL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,39542.188,,
1995,Norway,NOR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,828651.0,,
1995,Norway,NOR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,487917.0,,
1995,Poland,POL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,345060.0,,
1995,Poland,POL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,165128.0,,
1995,Portugal,PRT,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,89028.555,,
1995,Portugal,PRT,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,37951.219,,
1995,Slovak Republic,SVK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,19767.713,,
1995,Slovak Republic,SVK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,9561.1699,,
1995,Sweden,SWE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,1906773.0,,
1995,Sweden,SWE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,1201894.0,,
1995,Switzerland,CHE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,417228.34,,
1995,Switzerland,CHE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,139134.16,,
1995,Türkiye,TUR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,10693.502,,
1995,United Kingdom,GBR,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,853077.0,,
1995,United Kingdom,GBR,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,326617.0,,
1995,United States,USA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,7639749.0,,
1995,United States,USA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,2888481.0,,
1995,India,IND,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,11895012.0,,
1995,India,IND,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,3011530.0,,
1995,Lithuania,LTU,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,7760.9341,,
1995,Lithuania,LTU,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,2684.8799,,
1995,Slovenia,SVN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,10560.81,,
1995,Slovenia,SVN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,5608.0898,,
1995,Croatia,HRV,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1995,15720.191,,
1995,Croatia,HRV,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1995,9096.9668,,
1996,Belgium,BEL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,214287.09,,
1996,Belgium,BEL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,113683.9,,
1996,Canada,CAN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,859834.0,,
1996,Canada,CAN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,399980.0,,
1996,Czech Republic,CZE,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,1829255.0,,
1996,Czech Republic,CZE,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,762740.0,,
1996,Denmark,DNK,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,1088023.6,,
1996,Denmark,DNK,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,631037.0,,
1996,Finland,FIN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,102083.0,,
1996,Finland,FIN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,60736.0,,
1996,France,FRA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,1252266.0,,
1996,France,FRA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,687256.0,,
1996,Hungary,HUN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,7122305.0,,
1996,Hungary,HUN,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,3638360.0,,
1996,Iceland,ISL,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,493834.47,,
1996,Iceland,ISL,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,216993.0,,
1996,Italy,ITA,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,1045872.7,,
1996,Italy,ITA,T_PUB_EXP,Total Government Expenditure (mln),LOCAL_CUR,Local currency,1996,538511.0,,
1996,Japan,JPN,GDP,Gross Domestic Product (mln),LOCAL_CUR,Local currency,1996,535562112.0,,
