Year,Country,LOCATION,SEX,Sex,AGE,Age,TIME,Value,Flag Codes,Flags
1995,Belgium,BEL,T,Total,TOTAL,Total,1995,10136814.0,,
1995,Canada,CAN,T,Total,TOTAL,Total,1995,29302311.0,,
1995,Czech Republic,CZE,T,Total,TOTAL,Total,1995,10330759.0,,
1995,Denmark,DNK,T,Total,TOTAL,Total,1995,5227861.0,,
1995,Finland,FIN,T,Total,TOTAL,Total,1995,5107787.0,,
1995,France,FRA,T,Total,TOTAL,Total,1995,59383991.0,,
1995,Hungary,HUN,T,Total,TOTAL,Total,1995,10328967.0,,
1995,Iceland,ISL,T,Total,TOTAL,Total,1995,267467.0,,
1995,Italy,ITA,T,Total,TOTAL,Total,1995,56844301.0,,
1995,Japan,JPN,T,Total,TOTAL,Total,1995,125570246.0,,
1995,Korea,KOR,T,Total,TOTAL,Total,1995,45092991.0,,
1995,Netherlands,NLD,T,Total,TOTAL,Total,1995,15459004.0,,
1995,New Zealand,NZL,T,Total,TOTAL,Total,1995,3673400.0,,
1995,Norway,NOR,T,Total,TOTAL,Total,1995,4359187.0,,
1995,Poland,POL,T,Total,TOTAL,Total,1995,38274500.0,,
1995,Portugal,PRT,T,Total,TOTAL,Total,1995,10026176.0,,
1995,Slovak Republic,SVK,T,Total,TOTAL,Total,1995,5363676.0,,
1995,Sweden,SWE,T,Total,TOTAL,Total,1995,8826944.0,,
1995,Switzerland,CHE,T,Total,TOTAL,Total,1995,7040687.0,,
1995,Türkiye,TUR,T,Total,TOTAL,Total,1995,59756000.0,,
1995,United Kingdom,GBR,T,Total,TOTAL,Total,1995,58024799.0,,
1995,United States,USA,T,Total,TOTAL,Total,1995,266278393.0,,
1995,Croatia,HRV,T,Total,TOTAL,Total,1995,4807101.0,,
1995,India,IND,T,Total,TOTAL,Total,1995,964279130.0,,
1995,Lithuania,LTU,T,Total,TOTAL,Total,1995,3629102.0,,
1995,Slovenia,SVN,T,Total,TOTAL,Total,1995,1987505.0,,
1996,Belgium,BEL,T,Total,TOTAL,Total,1996,10156641.0,,
1996,Canada,CAN,T,Total,TOTAL,Total,1996,29610218.0,,
1996,Czech Republic,CZE,T,Total,TOTAL,Total,1996,10315353.0,,
1996,Denmark,DNK,T,Total,TOTAL,Total,1996,5261503.0,,
1996,Finland,FIN,T,Total,TOTAL,Total,1996,5124573.0,,
1996,France,FRA,T,Total,TOTAL,Total,1996,59589289.0,,
1996,Hungary,HUN,T,Total,TOTAL,Total,1996,10311235.0,,
1996,Iceland,ISL,T,Total,TOTAL,Total,1996,268918.0,,
1996,Italy,ITA,T,Total,TOTAL,Total,1996,56860279.0,,
1996,Japan,JPN,T,Total,TOTAL,Total,1996,125864000.0,,
1996,Korea,KOR,T,Total,TOTAL,Total,1996,45524681.0,,
1996,Netherlands,NLD,T,Total,TOTAL,Total,1996,15530500.0,,
1996,New Zealand,NZL,T,Total,TOTAL,Total,1996,3732000.0,,
1996,Norway,NOR,T,Total,TOTAL,Total,1996,4381339.0,,
1996,Poland,POL,T,Total,TOTAL,Total,1996,38289000.0,,
1996,Portugal,PRT,T,Total,TOTAL,Total,1996,10063944.5,,
1996,Slovak Republic,SVK,T,Total,TOTAL,Total,1996,5373793.0,,
