Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1995,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,160000000.0,,
1995,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,CAD,Canadian Dollar,0.0,Units,,,6419000000.0,,
1995,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,HRK,Croatian Kuna,0.0,Units,,,484000000.0,,
1995,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,CZK,Czech Koruna,0.0,Units,,,9802000000.0,,
1995,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,DKK,Danish Krone,0.0,Units,,,2578000000.0,,
1995,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,457000000.0,,
1995,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,10805267014.863,,
1995,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,HUF,Forint,0.0,Units,,,21574000000.0,,
1995,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,ISK,Iceland Krona,0.0,Units,,,6320000000.0,,
1995,India,,,,,,,,,,,,,,,
1995,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,4980000000.0,,
1995,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,JPY,Yen,0.0,Units,,,8799796000000.0,,
1995,Korea,,,,,,,,,,,,,,,
1995,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,15000000.0,,
1995,Netherlands,,,,,,,,,,,,,,,
1995,New Zealand,,,,,,,,,,,,,,,
1995,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,NOK,Norwegian Krone,0.0,Units,,,6847000000.0,,
1995,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,PLN,Zloty,0.0,Units,,,2024000000.0,,
1995,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,737000000.0,,
1995,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,53000000.0,,
1995,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,186000000.0,,
1995,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,SEK,Swedish Krona,0.0,Units,,,8508000000.0,E,Estimated value
1995,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,CHF,Swiss Franc,0.0,Units,,,3895000000.0,,
1995,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,TRY,Turkish Lira,0.0,Units,,,41000000.0,,
1995,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,GBP,Pound Sterling,0.0,Units,,,4330000000.0,,
1995,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,1995.0,USD,US Dollar,0.0,Units,,,38800000000.0,,
1996,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,159000000.0,,
1996,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,CAD,Canadian Dollar,0.0,Units,,,5774000000.0,,
1996,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,HRK,Croatian Kuna,0.0,Units,,,932000000.0,,
1996,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,CZK,Czech Koruna,0.0,Units,,,10537000000.0,,
1996,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,DKK,Danish Krone,0.0,Units,,,2971000000.0,,
1996,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,429000000.0,,
1996,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,10947662218.866,,
1996,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,HUF,Forint,0.0,Units,,,23800000000.0,,
1996,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,ISK,Iceland Krona,0.0,Units,,,5842000000.0,,
1996,India,,,,,,,,,,,,,,,
1996,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,5052000000.0,,
1996,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,JPY,Yen,0.0,Units,,,8643071000000.0,,
1996,Korea,,,,,,,,,,,,,,,
1996,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,24000000.0,,
1996,Netherlands,,,,,,,,,,,,,,,
1996,New Zealand,,,,,,,,,,,,,,,
1996,Norway,NOR,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,NOK,Norwegian Krone,0.0,Units,,,6410000000.0,,
1996,Poland,POL,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,PLN,Zloty,0.0,Units,,,617000000.0,B,Break
1996,Portugal,PRT,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,748000000.0,,
1996,Slovak Republic,SVK,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,79000000.0,,
1996,Slovenia,SVN,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,284000000.0,,
1996,Sweden,SWE,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,SEK,Swedish Krona,0.0,Units,,,8631000000.0,,
1996,Switzerland,CHE,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,CHF,Swiss Franc,0.0,Units,,,3793000000.0,,
1996,Türkiye,TUR,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,TRY,Turkish Lira,0.0,Units,,,97000000.0,,
1996,United Kingdom,GBR,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,GBP,Pound Sterling,0.0,Units,,,3958000000.0,,
1996,United States,USA,I-INV-RD,Road infrastructure investment,NAT,National currency,1996.0,USD,US Dollar,0.0,Units,,,40600000000.0,,
1997,Belgium,BEL,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,153000000.0,,
1997,Canada,CAN,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,CAD,Canadian Dollar,0.0,Units,,,5457000000.0,,
1997,Croatia,HRV,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,HRK,Croatian Kuna,0.0,Units,,,1288000000.0,,
1997,Czech Republic,CZE,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,CZK,Czech Koruna,0.0,Units,,,13720000000.0,,
1997,Denmark,DNK,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,DKK,Danish Krone,0.0,Units,,,2990000000.0,,
1997,Finland,FIN,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,436000000.0,,
1997,France,FRA,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,10819524890.238,,
1997,Hungary,HUN,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,HUF,Forint,0.0,Units,,,63300000000.0,,
1997,Iceland,ISL,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,ISK,Iceland Krona,0.0,Units,,,6549000000.0,,
1997,India,,,,,,,,,,,,,,,
1997,Italy,ITA,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,5144000000.0,,
1997,Japan,JPN,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,JPY,Yen,0.0,Units,,,8347659000000.0,,
1997,Korea,,,,,,,,,,,,,,,
1997,Lithuania,LTU,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,40000000.0,,
1997,Netherlands,NLD,I-INV-RD,Road infrastructure investment,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,1122000000.0,,
1997,New Zealand,,,,,,,,,,,,,,,
