Year,Country,COUNTRY,VARIABLE,Variable,MEASURE,Measure,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
1995,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,58000000.0,,
1995,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,CAD,Canadian Dollar,0.0,Units,,,5910000000.0,E,Estimated value
1995,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,HRK,Croatian Kuna,0.0,Units,,,150000000.0,,
1995,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,CZK,Czech Koruna,0.0,Units,,,4625000000.0,,
1995,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,DKK,Danish Krone,0.0,Units,,,4065000000.0,,
1995,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,599000000.0,,
1995,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,178000000.0,,
1995,Hungary,HUN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,HUF,Forint,0.0,Units,,,15935000000.0,,
1995,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,ISK,Iceland Krona,0.0,Units,,,1172000000.0,,
1995,India,,,,,,,,,,,,,,,
1995,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,4856000000.0,,
1995,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,JPY,Yen,0.0,Units,,,2306532000000.0,,
1995,Korea,,,,,,,,,,,,,,,
1995,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,11000000.0,,
1995,Netherlands,,,,,,,,,,,,,,,
1995,New Zealand,,,,,,,,,,,,,,,
1995,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,NOK,Norwegian Krone,0.0,Units,,,3938000000.0,,
1995,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,PLN,Zloty,0.0,Units,,,908000000.0,,
1995,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,125000000.0,,
1995,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,25000000.0,,
1995,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,EUR,Euro,0.0,Units,,,53000000.0,,
1995,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,SEK,Swedish Krona,0.0,Units,,,4684000000.0,E,Estimated value
1995,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,CHF,Swiss Franc,0.0,Units,,,1868000000.0,,
1995,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,TRY,Turkish Lira,0.0,Units,,,1000000.0,,
1995,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,GBP,Pound Sterling,0.0,Units,,,3180000000.0,,
1995,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1995.0,USD,US Dollar,0.0,Units,,,24318908000.0,,
1996,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,63000000.0,,
1996,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,CAD,Canadian Dollar,0.0,Units,,,5893000000.0,,
1996,Croatia,HRV,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,HRK,Croatian Kuna,0.0,Units,,,540000000.0,,
1996,Czech Republic,CZE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,CZK,Czech Koruna,0.0,Units,,,6491000000.0,,
1996,Denmark,DNK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,DKK,Danish Krone,0.0,Units,,,4223000000.0,,
1996,Finland,FIN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,526000000.0,,
1996,France,FRA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,180000000.0,,
1996,Hungary,HUN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,HUF,Forint,0.0,Units,,,17701000000.0,,
1996,Iceland,ISL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,ISK,Iceland Krona,0.0,Units,,,1381000000.0,,
1996,India,,,,,,,,,,,,,,,
1996,Italy,ITA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,4927000000.0,,
1996,Japan,JPN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,JPY,Yen,0.0,Units,,,2316812000000.0,,
1996,Korea,,,,,,,,,,,,,,,
1996,Lithuania,LTU,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,27000000.0,,
1996,Netherlands,,,,,,,,,,,,,,,
1996,New Zealand,,,,,,,,,,,,,,,
1996,Norway,NOR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,NOK,Norwegian Krone,0.0,Units,,,3874000000.0,,
1996,Poland,POL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,PLN,Zloty,0.0,Units,,,334000000.0,B,Break
1996,Portugal,PRT,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,152000000.0,,
1996,Slovak Republic,SVK,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,45000000.0,,
1996,Slovenia,SVN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,EUR,Euro,0.0,Units,,,96000000.0,,
1996,Sweden,SWE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,SEK,Swedish Krona,0.0,Units,,,4752000000.0,,
1996,Switzerland,CHE,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,CHF,Swiss Franc,0.0,Units,,,1850000000.0,,
1996,Türkiye,TUR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,TRY,Turkish Lira,0.0,Units,,,4000000.0,,
1996,United Kingdom,GBR,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,GBP,Pound Sterling,0.0,Units,,,2987000000.0,,
1996,United States,USA,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1996.0,USD,US Dollar,0.0,Units,,,25563402000.0,,
1997,Belgium,BEL,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,EUR,Euro,0.0,Units,,,60000000.0,,
1997,Canada,CAN,I-MTN-RD,Road infrastructure maintenance,NAT,National currency,1997.0,CAD,Canadian Dollar,0.0,Units,,,6466000000.0,,
