Year,Country,COUNTRY,VARIABLE,Variable,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
2001,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,267525.0,,
2001,Croatia,,,,,,,,,,,,,
2001,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,157083.0,E,Estimated value
2001,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,4458.0,E,Estimated value
2001,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,81109.0,,
2001,France,FRA,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,770918.0,,
2001,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,187737.0,E,Estimated value
2001,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,813276.0,,
2001,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,697936.19970162,,
2001,New Zealand,,,,,,,,,,,,,
2001,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,32309.0,,
2001,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,114464.0,,
2001,Lithuania,,,,,,,,,,,,,
2001,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,74078.0,E,Estimated value
2001,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,95009.0,E,Estimated value
2001,India,IND,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,2413000.0,,
2001,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,168211.0,,
2001,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,121470.0,,
2001,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,64506.0,,
2001,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,481000.0,,
2001,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,24194.0,,
2001,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,64700.0,,
2001,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,954293.0,,
2001,United States,USA,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,4355728.0,,
2001,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,63386.0,,
2001,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2001.0,PKM,Passenger-kilometres,6.0,Millions,,,56463.0,,
2002,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,244955.0,,
2002,Croatia,,,,,,,,,,,,,
2002,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,159627.0,E,Estimated value
2002,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,4583.0,E,Estimated value
2002,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,82003.0,,
2002,France,FRA,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,777226.0,,
2002,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,187875.0,E,Estimated value
2002,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,808678.0,,
2002,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,719619.46918281,,
2002,New Zealand,,,,,,,,,,,,,
2002,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,33214.0,,
2002,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,116344.0,,
2002,Lithuania,LTU,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,18542.0,,
2002,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,74958.0,E,Estimated value
2002,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,95580.0,E,Estimated value
2002,India,IND,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,2815000.0,,
2002,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,163327.0,,
2002,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,123960.0,,
2002,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,64702.0,,
2002,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,493000.0,,
2002,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,24626.0,,
2002,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,66000.0,,
2002,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,955412.0,,
2002,United States,USA,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,4450661.0,,
2002,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,63473.0,,
2002,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2002.0,PKM,Passenger-kilometres,6.0,Millions,,,57612.0,,
2003,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,238861.0,,
2003,Croatia,,,,,,,,,,,,,
2003,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,161700.0,E,Estimated value
2003,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,4711.0,E,Estimated value
2003,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,82774.0,,
2003,France,FRA,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,779163.0,,
2003,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,192944.0,E,Estimated value
2003,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,809307.0,,
2003,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,714356.3389006,,
2003,New Zealand,,,,,,,,,,,,,
2003,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,32981.0,,
2003,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,117084.0,,
2003,Lithuania,LTU,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,21976.0,,
2003,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,76809.0,E,Estimated value
2003,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,96541.0,E,Estimated value
2003,India,IND,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,3070000.0,,
2003,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,164311.0,,
2003,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,124730.0,,
2003,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,66122.0,,
2003,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,485000.0,,
2003,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,24777.0,,
2003,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,67260.0,,
2003,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,954186.0,,
2003,United States,USA,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,4483127.0,,
2003,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,64016.0,,
2003,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2003.0,PKM,Passenger-kilometres,6.0,Millions,,,58007.0,,
2004,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,190183.0,,
2004,Croatia,,,,,,,,,,,,,
2004,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,167449.0,E,Estimated value
2004,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,4855.0,E,Estimated value
2004,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,83587.0,,
2004,France,FRA,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,777323.0,,
2004,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,197895.0,E,Estimated value
2004,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,815820.0,,
2004,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,713486.3555,,
2004,New Zealand,,,,,,,,,,,,,
2004,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,32214.0,,
2004,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,118077.0,,
2004,Lithuania,LTU,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,28939.0,,
2004,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,76086.0,E,Estimated value
2004,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,97809.0,E,Estimated value
2004,India,IND,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,3469000.0,,
2004,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,174312.0,,
2004,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,126800.0,,
2004,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,67529.0,,
2004,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,488368.0,,
2004,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,25260.0,,
2004,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,68545.0,,
2004,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,947563.0,,
2004,United States,USA,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,4554468.0,,
2004,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,65452.0,,
2004,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2004.0,PKM,Passenger-kilometres,6.0,Millions,,,58573.0,,
2005,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,200779.0,B,Break
2005,Croatia,,,,,,,,,,,,,
2005,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,164834.0,E,Estimated value
2005,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,5145.0,E,Estimated value
2005,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,83937.0,,
2005,France,FRA,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,767290.0,,
2005,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,201465.0,E,Estimated value
2005,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,777968.0,,
2005,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,709177.5351,,
2005,New Zealand,NZL,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,48622.88,,
2005,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,33564.0,,
2005,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,117710.0,,
2005,Lithuania,LTU,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,38060.0,,
2005,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,77248.0,E,Estimated value
2005,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,97518.0,E,Estimated value
2005,India,IND,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,4252000.0,,
2005,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,182152.0,,
2005,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,126960.0,,
2005,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,66638.0,,
2005,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,512736.0,,
2005,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,25571.0,,
2005,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,69450.0,,
2005,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,933005.0,,
2005,United States,USA,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,4582280.0,,
2005,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,65517.0,,
2005,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2005.0,PKM,Passenger-kilometres,6.0,Millions,,,58339.0,,
2006,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,204339.0,,
2006,Croatia,,,,,,,,,,,,,
2006,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,163630.0,E,Estimated value
2006,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,5455.0,E,Estimated value
2006,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,84783.0,,
2006,France,FRA,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,765879.0,,
2006,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,205289.0,E,Estimated value
2006,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,779304.0,,
2006,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,712903.081,,
2006,New Zealand,NZL,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,48507.64,,
2006,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,33736.0,,
2006,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,117951.0,,
2006,Lithuania,LTU,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,42755.0,,
2006,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,79131.0,E,Estimated value
2006,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,97202.0,E,Estimated value
2006,India,IND,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,4657000.0,,
2006,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,187593.0,,
2006,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,127990.0,,
2006,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,69630.0,,
2006,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,510103.0,,
2006,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,26139.0,,
2006,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,69995.0,,
2006,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,917938.0,,
2006,United States,USA,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,4530078.0,,
2006,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,66191.0,,
2006,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2006.0,PKM,Passenger-kilometres,6.0,Millions,,,59196.0,,
2007,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,205158.0,,
2007,Croatia,,,,,,,,,,,,,
2007,Netherlands,NLD,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,166605.0,E,Estimated value
2007,Iceland,ISL,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,5730.0,E,Estimated value
2007,Switzerland,CHE,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,85757.0,,
2007,France,FRA,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,771178.0,,
2007,Poland,POL,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,209959.0,E,Estimated value
2007,Italy,ITA,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,779713.0,,
2007,United Kingdom,GBR,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,713789.5654,,
2007,New Zealand,NZL,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,48367.23,,
2007,Slovak Republic,SVK,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,33731.0,,
2007,Sweden,SWE,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,120171.0,,
2007,Lithuania,LTU,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,42289.0,,
2007,Czech Republic,CZE,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,81059.0,E,Estimated value
2007,Portugal,PRT,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,97722.0,E,Estimated value
2007,India,IND,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,5482000.0,,
2007,Türkiye,TUR,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,209115.0,,
2007,Belgium,BEL,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,130810.0,,
2007,Hungary,HUN,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,70447.0,,
2007,Canada,CAN,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,503471.0,,
2007,Slovenia,SVN,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,27590.0,,
2007,Finland,FIN,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,71325.0,,
2007,Japan,JPN,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,919062.0,,
2007,United States,USA,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,5846312.0,B,Break
2007,Denmark,DNK,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,67815.0,,
2007,Norway,NOR,T-PASS-RD-TOT,Road passenger transport,2007.0,PKM,Passenger-kilometres,6.0,Millions,,,60943.0,,
2008,Korea,KOR,T-PASS-RD-TOT,Road passenger transport,2008.0,PKM,Passenger-kilometres,6.0,Millions,,,306660.0,,
2008,Croatia,,,,,,,,,,,,,
