"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","1995","1995","PER","Persons","0","Units",,,3776,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","1996","1996","PER","Persons","0","Units",,,3183,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","1997","1997","PER","Persons","0","Units",,,2888,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","1998","1998","PER","Persons","0","Units",,,2884,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","1999","1999","PER","Persons","0","Units",,,2870,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,2199,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,2787,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,3128,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,3415,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,3577,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,4733,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,4633,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,4539,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,4284,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,3974,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,3796,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,4047,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2012","2012","PER","Persons","0","Units",,,4165,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2013","2013","PER","Persons","0","Units",,,4112,,
"AZE","Azerbaijan","T-ACCI-CAS","Road casualties (injured + killed)","2014","2014","PER","Persons","0","Units",,,3800,,
