Year,Country,Location,GDP,Gov_Spending,Maintenance,Investments,Perc_Maintenance,Perc_Investments
1995,Belgium,BEL,210489090000.0,110811600000.0,58000000.0,160000000.0,0.052341090643939804,0.1443892155694891
1996,Belgium,BEL,214287090000.0,113683900000.0,63000000.0,159000000.0,0.055416818036678896,0.13986149314018959
1997,Belgium,BEL,224101500000.0,115640200000.0,60000000.0,153000000.0,0.05188507110848996,0.13230693132664936
1998,Belgium,BEL,232623800000.0,118543500000.0,52000000.0,152000000.0,0.04386575392155623,0.12822297300147203
1999,Belgium,BEL,242307590000.0,122357400000.0,58000000.0,161000000.0,0.04740211871125081,0.13158174331916173
2000,Belgium,BEL,256376410000.0,126645600000.0,59000000.0,149000000.0,0.04658669547145736,0.11765114619062961
2001,Belgium,BEL,264334909999.99997,130526900000.0,62000000.0,147000000.0,0.0474997874001451,0.11262046367453758
2002,Belgium,BEL,273255909999.99997,136364410000.0,68000000.0,172000000.0,0.04986638375804948,0.12613261774094867
2003,Belgium,BEL,281200190000.0,143545300000.0,73000000.0,185000000.0,0.05085502625303649,0.12887917612070893
2004,Belgium,BEL,296819690000.0,146388200000.0,77000000.0,156000000.0,0.052599868022149325,0.1065659663825363
2005,Belgium,BEL,310037590000.0,160791590000.0,80000000.0,156000000.0,0.04975384595674438,0.09701999961565154
2006,Belgium,BEL,325151500000.0,158639410000.0,104000000.0,169000000.0,0.06555748032597952,0.10653090552971674
2007,Belgium,BEL,343618910000.0,166871410000.0,94000000.0,166000000.0,0.0563307998655971,0.09947779550733106
2008,Belgium,BEL,351743090000.0,178598700000.0,102000000.0,156000000.0,0.057111277965629086,0.08734666041802096
2009,Belgium,BEL,346472810000.0,189453910000.0,111000000.0,175000000.0,0.05858944795596987,0.09237075128193448
2010,Belgium,BEL,363140090000.0,195653590000.0,184000000.0,348000000.0,0.09404376377658084,0.1778653793165768
2011,Belgium,BEL,375967810000.0,207926910000.0,156000000.0,248000000.0,0.07502636383140596,0.11927268096274793
2012,Belgium,BEL,386174690000.0,218102090000.0,145000000.0,553000000.0,0.06648262747046578,0.25355098614598326
2013,Belgium,BEL,392880000000.0,220469590000.0,147000000.0,587000000.0,0.06667586219033654,0.26624987146753437
2014,Belgium,BEL,403003310000.0,224069410000.0,206000000.0,417000000.0,0.09193579792975758,0.18610304726557722
2015,Belgium,BEL,416701410000.0,223850700000.0,457000000.0,778000000.0,0.2041539293823964,0.3475530789048236
2016,Belgium,BEL,430085310000.0,228451200000.0,528000000.0,810000000.0,0.2311215699457915,0.35456149934865744
2017,Belgium,BEL,445050090000.0,231560700000.0,396797000.0,655906000.0,0.17135766129572075,0.2832544555272117
2018,Belgium,BEL,460050810000.0,240446000000.0,216000000.0,681000000.0,0.08983306022973973,0.28322367600209614
2019,Belgium,BEL,478645000000.0,248201910000.0,213000000.0,735000000.0,0.08581722840086121,0.29612987265085916
2020,Belgium,BEL,459826310000.0,270844690000.0,155000000.0,607000000.0,0.05722836951317007,0.22411367931931764
2021,Belgium,BEL,502311590000.0,278744410000.0,498000000.0,1311000000.0,0.17865829129990446,0.47032333312083285
1995,Canada,CAN,831621000000.0,402347000000.0,5910000000.0,6419000000.0,1.4688813387449142,1.595389054721422
1996,Canada,CAN,859834000000.0,399980000000.0,5893000000.0,5774000000.0,1.4733236661833091,1.4435721786089306
1997,Canada,CAN,906926000000.0,399898000000.0,6466000000.0,5457000000.0,1.616912312639723,1.3645979724829833
1998,Canada,CAN,940548000000.0,414399000000.0,6694000000.0,5253000000.0,1.6153513883962074,1.2676188890417206
1999,Canada,CAN,1007927000000.0,427988000000.0,7298000000.0,5084000000.0,1.7051879959251195,1.187883772442218
2000,Canada,CAN,1106071000000.0,456078000000.0,8068000000.0,5109000000.0,1.7689956542521237,1.1202031231499874
2001,Canada,CAN,1144543000000.0,478725000000.0,7339000000.0,6094000000.0,1.5330304454540706,1.2729646456734034
2002,Canada,CAN,1193694000000.0,491567000000.0,7869000000.0,5907000000.0,1.6007990772366736,1.2016673210366033
2003,Canada,CAN,1254747000000.0,515267000000.0,8306000000.0,6228000000.0,1.6119798085264532,1.2086937451845354
2004,Canada,CAN,1335731000000.0,533629000000.0,8734000000.0,6748000000.0,1.636717644655744,1.2645489656671582
2005,Canada,CAN,1421590000000.0,559532000000.0,7914000000.0,8293000000.0,1.414396316921999,1.482131495607043
2006,Canada,CAN,1496604000000.0,590726000000.0,7707000000.0,9653000000.0,1.304665784136808,1.6340909321749846
2007,Canada,CAN,1577661000000.0,620705000000.0,10098000000.0,11464000000.0,1.6268597804109843,1.8469321175115392
2008,Canada,CAN,1657041000000.0,655948000000.0,10834000000.0,13647000000.0,1.6516553141407553,2.0805002835590627
2009,Canada,CAN,1571334000000.0,695851000000.0,10384000000.0,17263000000.0,1.4922734895832586,2.48084719286169
2010,Canada,CAN,1666048000000.0,731454000000.0,11880000000.0,21015000000.0,1.6241622849830613,2.8730446480571574
