Year,Country,COUNTRY,VARIABLE,Variable,YEAR,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Injuries,Flag Codes,Flags,Population,Passenger_kilometres,Injuries_passenger_kilometres,Percentage_inj_pk_pop,Percentage_inj_pop
1995,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1995.0,PER,Persons,0.0,Units,,,73568.0,,,10136814.0,104228.0,705.8372030548413,0.006963106978729622,0.725750714179031
1996,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1996.0,PER,Persons,0.0,Units,,,68259.0,,,10156641.0,104096.0,655.7312480786966,0.006456182197231315,0.6720627420029909
1997,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1997.0,PER,Persons,0.0,Units,,,70907.0,,,10181246.0,107343.0,660.5647317477619,0.006488053935125051,0.6964471735581284
1998,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1998.0,PER,Persons,0.0,Units,,,72260.0,,,10203012.0,112960.0,639.6954674220963,0.0062696727929173884,0.7082222386879482
1999,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),1999.0,PER,Persons,0.0,Units,,,72543.0,,,10226419.0,116460.0,622.9005667181865,0.0060910917762922335,0.7093685482669936
2000,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2000.0,PER,Persons,0.0,Units,,,69431.0,,,10251251.0,119400.0,581.499162479062,0.005672470242695862,0.677292946977886
2001,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2001.0,PER,Persons,0.0,Units,,,66780.0,,,10286571.0,121470.0,549.7653741664609,0.005344495985751334,0.6491959273892145
2002,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2002.0,PER,Persons,0.0,Units,,,66342.0,,,10332786.0,123960.0,535.188770571152,0.005179520514323552,0.6420533629555475
2003,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2003.0,PER,Persons,0.0,Units,,,66602.0,,,10376131.0,124730.0,533.9693738475106,0.005146131769611531,0.6418770156236462
2004,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2004.0,PER,Persons,0.0,Units,,,64155.0,,,10421136.0,126800.0,505.9542586750788,0.0048550777830274824,0.6156238628878848
2005,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2005.0,PER,Persons,0.0,Units,,,64244.0,,,10478620.0,126960.0,506.017643352237,0.004829048513566071,0.6130959992823483
2006,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2006.0,PER,Persons,0.0,Units,,,64558.0,,,10547956.0,127990.0,504.39878115477774,0.0047819575769445545,0.6120427502731335
2007,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2007.0,PER,Persons,0.0,Units,,,65445.0,,,10624835.0,130810.0,500.30578701934104,0.004708833473831274,0.6159625067118689
2008,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2008.0,PER,Persons,0.0,Units,,,63941.0,,,10709108.0,130620.0,489.5192160465472,0.0045710549939971395,0.5970712033159065
2009,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2009.0,PER,Persons,0.0,Units,,,62338.0,,,10796498.0,131060.0,475.64474286586295,0.004405546528752777,0.5773909280583389
2010,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2010.0,PER,Persons,0.0,Units,,,59872.0,,,10895591.0,126773.0,472.27721991275746,0.0043345718457379456,0.5495066765997365
2011,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2011.0,PER,Persons,0.0,Units,,,62195.0,,,10993609.0,127640.0,487.26888122845503,0.004432292263882179,0.5657377845619214
2012,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2012.0,PER,Persons,0.0,Units,,,57146.0,,,11067748.0,128046.0,446.29273854708464,0.004032371703322886,0.5163290671236822
2013,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2013.0,PER,Persons,0.0,Units,,,53876.0,,,11125033.0,121530.0,443.3144079651115,0.00398483679073232,0.4842772151776988
2014,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2014.0,PER,Persons,0.0,Units,,,53982.0,,,11179778.0,123980.0,435.4089369253105,0.0038946116544113,0.482853952913913
2015,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2015.0,PER,Persons,0.0,Units,,,52593.0,,,11238474.0,122240.0,430.24378272251306,0.0038283114124080643,0.4679727870527618
2016,Belgium,BEL,T-ACCI-CAS,Road casualties (injured + killed),2016.0,PER,Persons,0.0,Units,,,51928.0,,,11295003.0,119500.0,434.54393305439334,0.003847222821050984,0.4597431271155927
